time,mAAPL,mABNB,mAMD,mAMZN,mARKK,mBABA,mBTC,mCOIN,mDOT,mETH,mFB,mGLXY,mGOOGL,mGS,mHOOD,mIAU,mJNJ,mKO,mMSFT,mNFLX,mNIO,mNVDA,mPYPL,mQQQ,mSBUX,mSLV,mSPY,mSQ,mTSLA,mTWTR,mUSO,mVIXY
2022-01-22 15:07:38,-0.65,3.92,2.44,1.76,7.3,4.37,5.28,7.95,8.78,4.2,6.14,5.82,3.26,3.09,8.75,0.58,1.57,-0.38,1.07,4.55,4.75,5.55,7.46,0.99,2.06,0.64,1.34,8.07,2.98,8.61,0.01,0.14
2022-01-22 15:08:08,-0.65,3.92,2.44,1.76,7.3,4.37,5.29,7.95,8.78,4.2,6.14,5.82,3.26,3.09,8.75,0.58,1.57,-0.38,1.07,4.55,4.75,5.55,7.46,0.99,2.06,0.64,1.34,8.07,2.98,8.61,0.01,0.14
2022-01-22 15:08:39,-0.65,3.92,2.44,1.76,7.3,4.37,5.29,7.95,8.78,4.2,6.14,5.82,3.26,3.09,8.75,0.58,1.57,-0.38,1.07,4.55,4.75,5.55,7.46,0.99,2.06,0.64,1.34,8.07,2.98,8.61,0.01,0.14
2022-01-22 15:09:09,-0.65,3.92,2.44,1.76,7.3,4.37,5.36,7.95,8.84,4.29,6.14,5.82,3.26,3.09,8.75,0.58,1.57,-0.38,1.07,4.55,4.75,5.55,7.46,0.99,2.06,0.64,1.34,8.07,2.98,8.61,0.01,0.14
2022-01-22 15:09:39,-0.65,3.92,2.44,1.76,7.3,4.37,5.36,7.95,8.89,4.32,6.14,5.82,3.26,3.09,8.75,0.58,1.57,-0.38,1.07,4.55,4.75,5.55,7.46,0.99,2.06,0.64,1.34,8.07,2.98,8.61,0.01,0.14
2022-01-22 15:10:10,-0.65,3.92,2.44,1.76,7.3,4.37,5.47,7.95,9.24,4.32,6.14,5.82,3.26,3.09,8.75,0.58,1.57,-0.38,1.07,4.55,4.75,5.55,7.46,0.99,2.06,0.64,1.34,8.07,2.98,8.61,0.01,0.14
2022-01-22 15:10:40,-0.65,3.92,2.44,1.76,7.3,4.37,5.47,7.95,9.24,4.3,6.14,5.82,3.26,3.09,8.75,0.58,1.57,-0.38,1.07,4.55,4.75,5.55,7.46,0.99,2.06,0.64,1.34,8.07,2.98,8.61,0.01,0.14
2022-01-22 15:11:11,-0.65,3.92,2.44,1.76,7.3,4.37,5.33,7.95,9.13,4.3,6.14,5.82,3.26,3.09,8.75,0.58,1.57,-0.38,1.07,4.55,4.75,5.55,7.46,0.99,2.06,0.64,1.34,8.07,2.98,8.61,0.01,0.14
2022-01-22 15:11:41,-0.65,3.92,2.44,1.76,7.3,4.37,5.29,7.95,9.13,4.2,6.14,5.82,3.26,3.09,8.75,0.58,1.57,-0.38,1.07,4.55,4.75,5.55,7.46,0.99,2.06,0.64,1.34,8.07,2.98,8.61,0.01,0.14
2022-01-22 15:12:12,-0.65,3.92,2.44,1.76,7.3,4.37,5.29,7.95,9.12,4.2,6.14,5.82,3.26,3.09,8.75,0.58,1.57,-0.38,1.07,4.55,4.75,5.55,7.46,0.99,2.06,0.64,1.34,8.07,2.98,8.61,0.01,0.14
